mechanism_class,n_variants,median_structural_opportunity_score,median_tractability_modifier,median_rescue_priority_score,median_retig_current_rel_wt_ctrl,median_retig_current_fold_vs_variant_ctrl,responsive_current50_rate,responsive_any_rate,reaches_wt_current_rate,spearman_rho_structural_vs_retig_current_rel_wt,spearman_p_structural_vs_retig_current_rel_wt,spearman_rho_priority_vs_retig_current_rel_wt,spearman_p_priority_vs_retig_current_rel_wt
partial_rescue,22,0.6970217012348867,1.0,0.6970217012348867,1.9069086099833354,3.8720731496964023,1.0,1.0,0.9545454545454546,-0.29870129870129875,0.17691319425141344,-0.29870129870129875,0.17691319425141344
full_rescue,20,0.5449736130366766,1.0,0.5449736130366766,3.2235852163077174,2.9425705545163243,0.55,0.6,0.55,-0.5314685314685316,0.07536233505348364,-0.5314685314685316,0.07536233505348364
no_rescue_annotated,17,0.554332,0.75,0.415749,2.692286933897651,4.209697536863321,0.7647058823529411,0.7647058823529411,0.7058823529411765,-0.2802197802197803,0.35376363563367896,-0.2802197802197803,0.35376363563367896
unassigned,4,0.5904802466003802,0.8999999999999999,0.5374231444611135,3.067910941276275,2.7867693404388305,0.75,1.0,1.0,0.39999999999999997,0.6,0.7999999999999999,0.20000000000000007
dominant_negative,2,0.7420163705593227,0.5,0.3710081852796613,0.9456028076916029,4.0576396333776685,1.0,1.0,0.0,,,,
