endpoint,endpoint_column,model_name,score_column,threshold,threshold_rule,n_variants,n_positive,n_negative,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,accuracy,f1_score,balanced_accuracy,mcc,prevalence
responsive_any,bhatt_retig_responsive_any,rescue_priority_score,rescue_priority_score,0.5,pre-specified fixed priority threshold,65,53,12,39,11,1,14,0.7358490566037735,0.9166666666666666,0.975,0.44,0.7692307692307693,0.8387096774193549,0.8262578616352201,0.5203787324221011,0.8153846153846154
responsive_any,bhatt_retig_responsive_any,alphamissense_score,alphamissense_score,0.75,standard AlphaMissense pathogenicity threshold,65,53,12,50,11,1,3,0.9433962264150944,0.9166666666666666,0.9803921568627451,0.7857142857142857,0.9384615384615385,0.9615384615384616,0.9300314465408805,0.8117263845726448,0.8153846153846154
