mechanism_like,n_variants,median_structural_opportunity_score,median_rescue_priority_score,median_peak_current_lit,median_delta_vhalf_lit,median_het_peak_current_lit,median_trafficking_score,median_het_function_score,spearman_rho_structural_vs_het_function,spearman_p_structural_vs_het_function,spearman_rho_priority_vs_het_function,spearman_p_priority_vs_het_function
gating_shift,17,0.6226752876053269,0.5094315185837845,0.722,10.6,0.74,1.0074249952397936,0.888576880098916,0.25357142857142856,0.3618161038158896,0.2964285714285714,0.28335542843426287
instability_mistrafficking,62,0.5161670672146154,0.47048987934983844,0.088,0.4,0.416,0.0746450555478783,0.216628411177368,-0.09473991817650498,0.47538255892628245,-0.16130917592051433,0.22225994249368078
conductance_loss,37,0.4827335070650249,0.4250193690971625,0.255,3.7,0.6925,0.899906671540032,0.475704422535867,-0.49292149292149295,0.002255384740497914,-0.40849420849420853,0.013381850478719802
other_or_mixed,46,0.4156869505085712,0.3547585353291355,0.79,0.35,1.02,0.979936399273429,0.9219397145989775,-0.1470860314523589,0.32933675748736746,-0.16891766882516188,0.261771671304213
