endpoint,endpoint_column,comparison,model_a,model_b,n_variants_used,auc_model_a,auc_model_b,auc_difference_a_minus_b,delong_p_value,better_model
reaches_wt_current,bhatt_retig_reaches_wt_current,rescue_priority_vs_alphamissense,rescue_priority_score,alphamissense_score,53,0.6541666666666659,0.6416666666666666,0.01249999999999929,0.9574912400683254,rescue_priority_score
reaches_wt_current,bhatt_retig_reaches_wt_current,structural_vs_alphamissense,structural_opportunity_score,alphamissense_score,53,0.2833333333333332,0.6416666666666666,-0.3583333333333334,0.12975204169313959,alphamissense_score
responsive_any,bhatt_retig_responsive_any,rescue_priority_vs_alphamissense,rescue_priority_score,alphamissense_score,65,0.8726415094339623,0.9827044025157234,-0.11006289308176109,0.0403406843872076,alphamissense_score
responsive_any,bhatt_retig_responsive_any,structural_vs_alphamissense,structural_opportunity_score,alphamissense_score,65,0.9213836477987423,0.9827044025157234,-0.061320754716981174,0.21854950863500644,alphamissense_score
responsive_current50,bhatt_retig_responsive_current50,rescue_priority_vs_alphamissense,rescue_priority_score,alphamissense_score,65,0.8249299719887953,0.9418767507002799,-0.11694677871148462,0.019971222580714675,alphamissense_score
responsive_current50,bhatt_retig_responsive_current50,structural_vs_alphamissense,structural_opportunity_score,alphamissense_score,65,0.8893557422969187,0.9418767507002799,-0.05252100840336116,0.2453734920259788,alphamissense_score
