mechanism_class,n_variants,median_hetero_retig_current_rel_wt,median_heteromeric_gain_over_homo,median_heteromeric_gain_over_hetero_baseline,spearman_rho_priority_vs_hetero_retig_current_rel_wt,spearman_p_priority_vs_hetero_retig_current_rel_wt
partial_rescue,22,1.9069086099833354,31.200343375178015,4.894547427777246,-0.29870129870129875,0.17691319425141344
full_rescue,20,3.2235852163077174,7.984046683686356,2.9463319857891292,-0.5314685314685316,0.07536233505348364
no_rescue_annotated,17,2.692286933897651,5.920248913560732,4.53848304126304,-0.2802197802197803,0.35376363563367896
unassigned,4,3.067910941276275,2.7115378004467408,4.211525345932177,0.7999999999999999,0.20000000000000007
dominant_negative,2,0.9456028076916029,17.25653136300137,4.2135482193106215,,
