term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],odds_ratio,or_ci_lo,or_ci_hi
Intercept,1.3404636684137718,0.17411050530667693,7.698924691836884,1.372160040550688e-14,0.9992133486826151,1.6817139881449286,3.8208146857990735,2.7161272973299777,5.374794059751432
C(gene)[T.KCNQ2],0.750796641017782,0.15777510332955233,4.758650922570195,1.9489114442647504e-06,0.44156312083477384,1.06003016120079,2.1186871776021494,1.5551273486127293,2.886474448886828
C(gene)[T.KCNQ3],-1.9622090052005128,0.20715152918550572,-9.472336568866648,2.7365267453390167e-21,-2.368218541746502,-1.5561994686545237,0.14054760735747338,0.09364670804383544,0.2109377931861092
C(gene)[T.KCNQ4],-1.321373089701037,0.25211989263860624,-5.241050501299078,1.596650068651843e-07,-1.8155189990588103,-0.8272271803432636,0.26676875294387137,0.16275193976708727,0.4372640206259455
C(gene)[T.KCNQ5],-1.5839358819250027,0.3034540148431506,-5.219689984143752,1.792228816524178e-07,-2.1786948219816606,-0.9891769418683445,0.20516599784509112,0.11318792924413885,0.3718867104722796
pocket_dist_A,-0.04552014467000749,0.003946340472879469,-11.534773794313159,8.811849424088155e-31,-0.053254829867584015,-0.03778545947243097,0.9555003541387522,0.9481382329615552,0.962919640849775
